source_api,metric_id,metric_name,pub_date,available_date,value,expected_value,previous_value
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-05-01,1996-05-01,12.06,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-06-01,1996-06-01,10.98,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-07-01,1996-07-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-08-01,1996-08-01,10.98,0.0,10.98
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1996-08-23,1996-08-23,10.08,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1996-08-23,1996-08-23,12.42,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-09-01,1996-09-01,10.73,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-10-01,1996-10-01,10.08,0.0,10.73
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-11-01,1996-11-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-12-01,1996-12-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-01-01,1997-01-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-02-01,1997-02-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-03-01,1997-03-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-04-01,1997-04-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-05-01,1997-05-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-06-01,1997-06-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-07-01,1997-07-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-08-01,1997-08-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-09-01,1997-09-01,10.08,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-10-01,1997-10-01,10.08,0.0,10.08
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1997-10-23,1997-10-23,8.64,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1997-10-23,1997-10-23,10.53,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-11-01,1997-11-01,9.64,0.0,10.08
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1997-12-01,1997-12-01,8.64,0.0,9.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-01-01,1998-01-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-02-01,1998-02-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-03-01,1998-03-01,8.64,0.0,8.64
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1998-03-25,1998-03-25,7.92,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1998-03-25,1998-03-25,10.35,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-04-01,1998-04-01,8.48,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-05-01,1998-05-01,7.92,0.0,8.48
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-06-01,1998-06-01,7.92,0.0,7.92
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1998-07-01,1998-07-01,6.93,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1998-07-01,1998-07-01,8.01,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-07-01,1998-07-01,7.92,0.0,7.92
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-08-01,1998-08-01,6.93,0.0,7.92
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-09-01,1998-09-01,6.93,0.0,6.93
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-10-01,1998-10-01,6.93,0.0,6.93
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-11-01,1998-11-01,6.93,0.0,6.93
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1998-12-01,1998-12-01,6.93,0.0,6.93
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1998-12-07,1998-12-07,6.39,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1998-12-07,1998-12-07,7.56,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-01-01,1999-01-01,6.48,0.0,6.93
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-02-01,1999-02-01,6.39,0.0,6.48
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-03-01,1999-03-01,6.39,0.0,6.39
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-04-01,1999-04-01,6.39,0.0,6.39
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-05-01,1999-05-01,6.39,0.0,6.39
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-06-01,1999-06-01,6.39,0.0,6.39
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1999-06-10,1999-06-10,5.85,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1999-06-10,1999-06-10,6.21,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-07-01,1999-07-01,6.02,0.0,6.39
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-08-01,1999-08-01,5.85,0.0,6.02
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-09-01,1999-09-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-10-01,1999-10-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-11-01,1999-11-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1999-12-01,1999-12-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-01-01,2000-01-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-02-01,2000-02-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-03-01,2000-03-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-04-01,2000-04-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-05-01,2000-05-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-06-01,2000-06-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-07-01,2000-07-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-08-01,2000-08-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-09-01,2000-09-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-10-01,2000-10-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-11-01,2000-11-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2000-12-01,2000-12-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-01-01,2001-01-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-02-01,2001-02-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-03-01,2001-03-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-04-01,2001-04-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-05-01,2001-05-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-06-01,2001-06-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-07-01,2001-07-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-08-01,2001-08-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-09-01,2001-09-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-10-01,2001-10-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-11-01,2001-11-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2001-12-01,2001-12-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-01-01,2002-01-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-02-01,2002-02-01,5.85,0.0,5.85
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,2002-02-21,2002-02-21,5.31,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,2002-02-21,2002-02-21,5.76,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-03-01,2002-03-01,5.69,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-04-01,2002-04-01,5.31,0.0,5.69
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-05-01,2002-05-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-06-01,2002-06-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-07-01,2002-07-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-08-01,2002-08-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-09-01,2002-09-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-10-01,2002-10-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-11-01,2002-11-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2002-12-01,2002-12-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-01-01,2003-01-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-02-01,2003-02-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-03-01,2003-03-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-04-01,2003-04-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-05-01,2003-05-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-06-01,2003-06-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-07-01,2003-07-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-08-01,2003-08-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-09-01,2003-09-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-10-01,2003-10-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-11-01,2003-11-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2003-12-01,2003-12-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-01-01,2004-01-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-02-01,2004-02-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-03-01,2004-03-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-04-01,2004-04-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-05-01,2004-05-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-06-01,2004-06-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-07-01,2004-07-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-08-01,2004-08-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-09-01,2004-09-01,5.31,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-10-01,2004-10-01,5.31,0.0,5.31
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,2004-10-29,2004-10-29,5.58,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,2004-10-29,2004-10-29,6.12,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-11-01,2004-11-01,5.32,0.0,5.31
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2004-12-01,2004-12-01,5.58,0.0,5.32
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-01-01,2005-01-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-02-01,2005-02-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-03-01,2005-03-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-04-01,2005-04-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-05-01,2005-05-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-06-01,2005-06-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-07-01,2005-07-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-08-01,2005-08-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-09-01,2005-09-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-10-01,2005-10-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-11-01,2005-11-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2005-12-01,2005-12-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-01-01,2006-01-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-02-01,2006-02-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-03-01,2006-03-01,5.58,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-04-01,2006-04-01,5.58,0.0,5.58
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,2006-04-28,2006-04-28,5.85,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,2006-04-28,2006-04-28,6.39,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-05-01,2006-05-01,5.59,0.0,5.58
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-06-01,2006-06-01,5.85,0.0,5.59
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-07-01,2006-07-01,5.85,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-08-01,2006-08-01,5.85,0.0,5.85
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,2006-08-19,2006-08-19,6.12,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,2006-08-19,2006-08-19,6.84,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-09-01,2006-09-01,5.96,0.0,5.85
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-10-01,2006-10-01,6.12,0.0,5.96
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-11-01,2006-11-01,6.12,0.0,6.12
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2006-12-01,2006-12-01,6.12,0.0,6.12
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2007-01-01,2007-01-01,6.12,0.0,6.12
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2007-02-01,2007-02-01,6.12,0.0,6.12
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2007-03-01,2007-03-01,6.12,0.0,6.12
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,2007-03-18,2007-03-18,6.39,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,2007-03-18,2007-03-18,7.11,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2007-04-01,2007-04-01,6.24,0.0,6.12
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2007-05-18,2007-05-18,6.57,0.0,6.39
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,2007-05-19,2007-05-19,6.57,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,2007-05-19,2007-05-19,7.2,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2007-07-20,2007-07-20,6.84,0.0,6.57
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,2007-07-21,2007-07-21,6.84,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,2007-07-21,2007-07-21,7.38,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,2007-08-21,2007-08-21,7.02,0.0,6.84
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,2007-08-22,2007-08-22,7.02,0.0,0.0
